Task ID,Task Name,Task Object Name,Task Type,Task Run ID,Project Name,Folder Name,Org ID,Environment ID,Environment,Cores Used,Start Time,End Time,Status,Metered Value,Audit Time,OBM Task Time(s)
000QML0Z0000000001HD,vgn_gcstest_MappingTask10,null,MTT,7,Default,,80bTjaasFejbEkQynNFnyT,3wtAMqArHpjdihnAbf7tiM,vg_windows_local,1.779359430604982,2023-11-12 17:20:07.0,2023-11-12 17:24:16.0,ERROR,0.069167,2023-11-12 18:11:51.0,0
000QML0Z0000000001HD,vgn_gcstest_MappingTask10,null,MTT,8,Default,,80bTjaasFejbEkQynNFnyT,3wtAMqArHpjdihnAbf7tiM,vg_windows_local,1.208109719737627,2023-11-13 03:19:54.0,2023-11-13 03:21:44.0,ERROR,0.030556,2023-11-13 05:13:08.0,0
000QML0Z0000000001HH,m_TRN_DI_MQDL_TFCT_CQA,null,MTT_TEST,1,JJW,,80bTjaasFejbEkQynNFnyT,6Jx5PuaV2WIlVSuPKZPjej,JJ_Linux_repro,0.0,2023-11-21 05:16:51.0,2023-11-21 05:17:29.0,SUCCESS,0.010556,2023-11-21 06:11:35.0,0
000QML17000000000182,M_Suswara_Oracle_2_Oracle,null,MTT_DP,2,Default,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2023-11-21 09:03:57.0,2023-11-21 09:04:12.0,SUCCESS,0.004167,2023-11-21 09:12:02.0,0
000QML17000000000182,M_Suswara_Oracle_2_Oracle,null,MTT_DP,3,Default,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2023-11-21 09:22:34.0,2023-11-21 09:22:46.0,SUCCESS,0.003333,2023-11-21 10:11:42.0,0
000QML170000000001AU,Mapping36,null,MTT_DP,5,Default,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2023-11-21 09:24:43.0,2023-11-21 09:25:13.0,SUCCESS,0.008333,2023-11-21 10:11:42.0,0
000QML0Z0000000001HI,Mapping37,null,MTT_TEST,2,JJW,IncrementalIngressJobs,80bTjaasFejbEkQynNFnyT,6Jx5PuaV2WIlVSuPKZPjej,JJ_Linux_repro,0.0,2023-11-29 05:52:22.0,2023-11-29 05:52:33.0,SUCCESS,0.003056,2023-11-29 06:11:26.0,0
000QML0Z0000000001HI,Mapping37,null,MTT_TEST,1,JJW,IncrementalIngressJobs,80bTjaasFejbEkQynNFnyT,6Jx5PuaV2WIlVSuPKZPjej,JJ_Linux_repro,0.0,2023-11-29 05:49:03.0,2023-11-29 05:49:21.0,ERROR,0.005,2023-11-29 06:11:26.0,0
000QML0Z0000000001HI,Mapping37,null,MTT_TEST,3,JJW,IncrementalIngressJobs,80bTjaasFejbEkQynNFnyT,6Jx5PuaV2WIlVSuPKZPjej,JJ_Linux_repro,0.0,2023-11-29 06:43:33.0,2023-11-29 06:43:44.0,ERROR,0.003056,2023-11-29 07:11:22.0,0
000QML0Z0000000001HI,Mapping37,null,MTT_TEST,4,JJW,IncrementalIngressJobs,80bTjaasFejbEkQynNFnyT,6Jx5PuaV2WIlVSuPKZPjej,JJ_Linux_repro,0.0,2023-11-29 06:46:46.0,2023-11-29 06:46:55.0,SUCCESS,0.0025,2023-11-29 07:11:22.0,0
000QML0Z0000000001FW,vgn_runtest_MT,null,MTT,3,Default,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.0,2023-11-29 09:16:42.0,2023-11-29 09:17:05.0,SUCCESS,0.006389,2023-11-29 10:11:23.0,0
000QML0Z0000000001FW,vgn_runtest_MT,null,MTT,4,Default,,80bTjaasFejbEkQynNFnyT,1QO6mK4AcQFdVOzuNNpsEH,vg-linux-vm.informatica.com,0.003999200159968,2023-11-29 09:19:10.0,2023-11-29 09:24:31.0,SUCCESS,0.089167,2023-11-29 10:11:23.0,0
000QML0Z0000000001HK,mt_04575925_RTE_conn_test,null,MTT,2,Sandy_workspace,,80bTjaasFejbEkQynNFnyT,aQAzUH3M8sakBUty8DreWi,jef_redhat_vm,0.0,2023-12-01 09:02:52.0,2023-12-01 09:03:37.0,SUCCESS,0.0125,2023-12-01 09:11:21.0,0
